clip_id,subset,label
PAMD-00810,train,negative
PAMD-00811,train,positive
PAMD-00812,test,positive
PAMD-00813,train,negative
PAMD-00814,train,negative
PAMD-00815,train,negative
PAMD-00816,train,negative
PAMD-00817,train,negative
PAMD-00818,train,negative
PAMD-00819,test,positive
PAMD-00820,train,positive
PAMD-00821,train,positive
PAMD-00822,train,positive
PAMD-00823,test,positive
PAMD-00824,train,positive
PAMD-00825,train,negative
PAMD-00826,train,positive
PAMD-00827,train,positive
PAMD-00828,train,positive
PAMD-00829,train,positive
PAMD-00830,train,positive
PAMD-00831,train,negative
PAMD-00832,train,negative
PAMD-00833,train,positive
PAMD-00834,train,negative
PAMD-00835,train,negative
PAMD-00836,train,positive
PAMD-00837,train,positive
PAMD-00838,train,positive
PAMD-00839,train,negative
PAMD-00840,train,negative
PAMD-00841,train,negative
PAMD-00842,test,negative
PAMD-00843,train,negative
PAMD-00844,train,positive
PAMD-00845,train,positive
PAMD-00846,train,positive
PAMD-00847,train,positive
PAMD-00848,train,positive
PAMD-00849,train,positive
PAMD-00850,train,positive
PAMD-00851,train,positive
PAMD-00852,train,positive
PAMD-00853,train,positive
PAMD-00854,train,positive
PAMD-00855,train,positive
PAMD-00856,train,positive
PAMD-00857,train,positive
PAMD-00858,train,positive
PAMD-00859,train,positive
PAMD-00860,train,negative
PAMD-00861,train,negative
PAMD-00862,train,negative
PAMD-00863,train,negative
PAMD-00864,train,negative
PAMD-00865,train,negative
PAMD-00866,train,negative
PAMD-00867,train,negative
PAMD-00868,train,negative
PAMD-00869,test,negative
PAMD-00870,train,negative
PAMD-00871,train,negative
PAMD-00872,train,negative
PAMD-00873,train,negative
PAMD-00874,test,negative
PAMD-00875,train,negative
PAMD-00876,test,negative
PAMD-00877,train,negative
PAMD-00878,train,negative
PAMD-00879,train,negative
PAMD-00880,train,negative
PAMD-00881,train,positive
PAMD-00882,train,positive
PAMD-00883,train,positive
PAMD-00884,test,positive
PAMD-00885,train,positive
PAMD-00886,train,negative
PAMD-00887,train,negative
PAMD-00888,train,negative
PAMD-00889,train,positive
PAMD-00890,train,negative
PAMD-00891,train,negative
PAMD-00892,train,negative
PAMD-00893,train,negative
PAMD-00894,train,negative
PAMD-00895,train,negative
PAMD-00896,train,negative
PAMD-00897,train,negative
PAMD-00898,train,negative
PAMD-00899,train,negative
PAMD-00900,train,negative
PAMD-00901,train,negative
PAMD-00902,train,negative
PAMD-00903,train,negative
PAMD-00904,train,negative
PAMD-00905,train,negative
PAMD-00906,train,negative
PAMD-00907,train,positive
PAMD-00908,train,positive
PAMD-00909,train,positive
PAMD-00910,test,negative
PAMD-00911,train,negative
PAMD-00912,test,negative
PAMD-00913,train,negative
PAMD-00914,train,negative
PAMD-00915,train,negative
PAMD-00916,train,negative
PAMD-00917,train,negative
PAMD-00918,train,negative
PAMD-00919,train,negative
PAMD-00920,train,negative
PAMD-00921,train,negative
PAMD-00922,train,positive
PAMD-00923,train,positive
PAMD-00924,train,negative
PAMD-00925,train,negative
PAMD-00926,train,negative
PAMD-00927,train,negative
PAMD-00928,train,negative
PAMD-00929,train,positive
PAMD-00930,train,negative
PAMD-00931,train,negative
PAMD-00932,train,positive
PAMD-00933,train,positive
PAMD-00934,train,positive
PAMD-00935,train,positive
PAMD-00936,train,positive
PAMD-00937,train,positive
PAMD-00938,train,positive
PAMD-00939,test,positive
PAMD-00940,train,negative
PAMD-00941,train,positive
PAMD-00942,train,positive
PAMD-00943,train,positive
PAMD-00944,train,positive
PAMD-00945,test,positive
PAMD-00946,train,positive
PAMD-00947,train,negative
PAMD-00948,train,negative
PAMD-00949,train,negative
PAMD-00950,train,negative
PAMD-00951,train,negative
PAMD-00952,train,positive
PAMD-00953,train,positive
PAMD-00954,train,positive
PAMD-00955,train,positive
PAMD-00956,train,positive
PAMD-00957,train,positive
PAMD-00958,test,negative
PAMD-00959,train,negative
PAMD-00960,train,positive
PAMD-00961,train,positive
PAMD-00962,train,positive
PAMD-00963,train,negative
PAMD-00964,train,positive
PAMD-00965,test,positive
PAMD-00966,train,negative
PAMD-00967,train,negative
PAMD-00968,train,negative
PAMD-00969,train,negative
PAMD-00970,train,negative
PAMD-00971,train,negative
PAMD-00972,train,positive
PAMD-00973,train,negative
PAMD-00974,train,negative
PAMD-00975,train,negative
PAMD-00976,train,negative
PAMD-00977,train,negative
PAMD-00978,test,negative
PAMD-00979,train,negative
PAMD-00980,train,negative
PAMD-00981,train,negative
PAMD-00982,train,negative
PAMD-00983,test,negative
PAMD-00984,train,negative
PAMD-00985,train,negative
PAMD-00986,train,negative
PAMD-00987,train,negative
PAMD-00988,train,negative
PAMD-00989,train,negative
PAMD-00990,train,negative
PAMD-00991,test,negative
PAMD-00992,train,negative
PAMD-00993,train,negative
PAMD-00994,train,negative
PAMD-00995,train,negative
PAMD-00996,train,negative
PAMD-00997,train,negative
PAMD-00998,train,negative
PAMD-00999,train,negative
PAMD-01000,train,negative
PAMD-01001,train,negative
PAMD-01002,train,negative
PAMD-01003,train,negative
PAMD-01004,train,negative
PAMD-01005,train,negative
PAMD-01006,train,negative
PAMD-01007,test,negative
PAMD-01008,train,negative
PAMD-01009,train,negative
PAMD-01010,train,negative
PAMD-01011,train,negative
PAMD-01012,train,negative
PAMD-01013,train,negative
PAMD-01014,train,negative
PAMD-01015,train,negative
PAMD-01016,train,negative
PAMD-01017,train,negative
PAMD-01018,train,negative
PAMD-01019,train,negative
PAMD-01020,train,negative
PAMD-01021,train,negative
PAMD-01022,train,negative
PAMD-01023,train,negative
PAMD-01024,test,negative
PAMD-01025,train,negative
PAMD-01026,train,negative
PAMD-01027,train,negative
PAMD-01028,test,negative
PAMD-01029,train,negative
PAMD-01030,train,negative
PAMD-01031,train,negative
PAMD-01032,train,negative
PAMD-01033,train,negative
PAMD-01034,train,negative
PAMD-01035,train,negative
PAMD-01036,train,negative
PAMD-01037,test,negative
PAMD-01038,train,negative
PAMD-01039,train,negative
PAMD-01040,train,negative
PAMD-01041,train,negative
PAMD-01042,train,negative
PAMD-01043,train,negative
PAMD-01044,train,negative
PAMD-01045,train,negative
PAMD-01046,train,negative
PAMD-01047,train,negative
PAMD-01048,train,negative
PAMD-01049,train,positive
PAMD-01050,train,positive
PAMD-01051,train,negative
PAMD-01052,train,positive
PAMD-01053,train,negative
PAMD-01054,train,negative
PAMD-01055,train,negative
PAMD-01056,test,negative
PAMD-01057,train,negative
PAMD-01058,train,negative
PAMD-01059,train,negative
PAMD-01060,train,negative
PAMD-01061,train,negative
PAMD-01062,train,positive
PAMD-01063,train,negative
PAMD-01064,train,positive
PAMD-01065,train,positive
PAMD-01066,train,negative
PAMD-01067,train,negative
PAMD-01068,train,negative
PAMD-01069,train,negative
PAMD-01070,train,negative
PAMD-01071,test,negative
PAMD-01072,test,negative
PAMD-01073,test,negative
PAMD-01074,test,negative
PAMD-01075,train,negative
